nome,completeness_score,fowlkes_mallows_score,homogeneity_score,v_measure_score,rand_score,adjusted_rand_score,mutual_info_score,adjusted_mutual_info_score,normalized_mutual_info_score,tempo
AP_Endometrium_Kidney,0.9258517351557103,1.0245759924912654,0.8509576890514353,0.8786554198001173,1.0211014764471527,1.2047335287493108,0.8525525369403987,0.859584797495396,0.8786554198001173,0.5933620238886214
AP_Colon_Uterus,0.8897078845013512,1.0004979654443882,0.9440873140847005,1.0058683877431605,0.9995533021444347,0.8298957357514982,1.0268793484182897,0.9764142148142612,1.0058683877431605,0.7571686201085046
leukemia,12.604420253743449,1.114036536214492,10.967923183813884,11.400233148257549,1.0936740141865613,6.146547282999832,10.963582267128912,-148.5782152950708,11.400233148257549,0.4878431855820294
hepatitisC,0.7250619330051297,0.9449676407708743,0.7219541255405326,0.7251569731837803,0.9330950235555651,0.6100786949111814,0.7244217845947748,0.7102716864322842,0.7251569731837803,0.6840614262715421
Ovarian,1.4462032725732374,1.0014217138535044,1.5053545879456225,1.4073537217164465,1.002751958224543,1.3191735645345983,1.4664728435177414,1.9248267518788453,1.4073537217164465,0.49584406399319725
SRBCT,1.3931775511428208,1.1663104525500436,1.3108141049816373,1.3432038613039092,1.000679267664549,1.5911534560319804,1.3105329879780157,1.440889999284796,1.3432038613039092,0.7090147164694582
Colon,3.208381006047425,1.0634417090704857,3.110365839867602,3.1598445444829544,1.0476771163221008,-2.8525507084468393,3.1020351032626956,-26.467320676797907,3.1598445444829544,0.6296163738324251
climate-model-simulation-crashes,1.0002702967033101,0.9998908073845897,1.0013139317740645,1.0027587600286383,0.9996213404306799,1.0155343809532018,0.9974263947104784,0.9998685786542225,1.0027587600286383,3.496120227239668
pasture,0.9829873279501928,0.9899799343983168,0.9569137826597631,0.9665589908165587,0.9772549019607846,0.9435526315789471,0.9553127642003441,0.958787754949726,0.9665589908165594,1.0922038326003725
glass,0.8069599752637383,0.8632109122132317,0.9315205780393124,0.8668459606556723,1.0288357588357588,0.8442257177032958,0.9313486109341185,0.8563673261292313,0.8668459606556723,4.9684409853699325
kc1-binary,0.9494776986723903,0.9891847538193812,1.3477292230388958,1.3142242620785662,1.012283063489176,1.4215632422116302,1.3661913992470218,1.412051893591819,1.3142242620785665,1.5944630114469363
dermatology,1.3674871994623001,1.0749721346481595,1.3550707360209386,1.366904271646256,1.0055735918410345,1.6591512540671776,1.3581041395104345,1.4649805829076874,1.366904271646256,8.5721868504318
backache,0.640611863062754,0.9898070826255116,0.6952035054832433,0.6725232265251292,0.9918360655737706,0.7216234110169492,0.718884079852477,0.5035435582357268,0.6725232265251292,2.386259086212211
lsvt,1.7918349479503581,0.9619465799019353,2.0013924762614566,1.8806218057189694,0.9879530997576738,1.0134184444817735,1.9858746535282574,2.3525659436820794,1.8806218057189694,1.143384237322728
thoracic-surgery,0.20028354411728666,0.8368082752859674,0.618037868366988,0.4118805237248476,0.8183695407466401,0.12010736300340007,0.0,1.458847284882465,0.4118805237248476,3.8011611905492133
planning-relax,0.0,0.9985751199003873,0.0,0.0,0.9990732628245469,0.9393040520056394,0.0,0.9381844515132809,0.0,2.455180004144881
